CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,120,22,41,110.41,832.50,35.70,75,799.40,831.35,75,"10,300.00",75,0.85,0.90,"3,150",-1.00,0.70,59.38,"19,582","-4,078","5,472",
,3,-,2,105.23,782.65,207.25,"1,200",706.15,821.10,"1,200","10,350.00",225,0.85,1.00,"2,400",-1.15,1.20,55.99,"1,184",-122,381,
,92,-18,73,100.16,732.95,36.30,75,709.30,733.00,75,"10,400.00","1,800",0.95,1.10,"5,700",-1.15,0.95,54.00,"58,367","-18,076","8,815",
,8,-,-,-,555.35,-,75,640.05,683.10,525,"10,450.00","1,575",1.00,1.15,750,-1.25,1.05,50.53,"4,967","-1,045",739,
,685,-110,397,78.31,622.00,26.65,75,621.05,623.45,75,"10,500.00","6,825",1.25,1.30,"8,700",-1.20,1.05,48.41,"1,01,416",834,"24,093",
,48,8,24,68.04,567.50,22.35,75,568.95,575.30,75,"10,550.00","3,150",1.30,1.50,"7,275",-1.15,1.40,45.53,"10,714","-1,674","1,253",
,261,-74,207,68.34,522.20,27.35,900,521.50,524.05,225,"10,600.00","7,200",1.40,1.45,375,-1.45,1.20,41.89,"1,13,730","-2,955","18,363",
,51,1,34,56.01,465.60,19.45,975,471.00,473.75,300,"10,650.00","1,500",1.65,1.75,"6,300",-1.55,1.50,38.98,"28,018","-2,862","3,514",
,736,-68,611,58.20,426.85,25.00,525,421.80,423.75,75,"10,700.00","11,475",1.70,1.80,"9,225",-2.15,1.75,35.41,"1,66,546","-8,229","18,469",
,133,10,167,53.29,372.60,22.60,225,371.95,374.25,75,"10,750.00","6,525",2.10,2.15,"1,500",-2.90,2.15,32.87,"77,687","-3,598","7,035",
,"1,695","-1,213","7,090",48.35,326.75,24.35,75,323.40,324.70,75,"10,800.00","9,900",2.60,2.65,450,-4.50,2.55,30.03,"3,28,363","-4,929","30,196",
,451,9,"2,323",43.54,280.30,23.10,75,274.00,275.40,75,"10,850.00",150,3.40,3.45,"1,275",-7.10,3.00,27.14,"1,65,283","2,080","13,051",
,"3,894","-1,511","22,839",38.52,227.95,19.10,75,226.30,227.30,75,"10,900.00","23,475",5.00,5.05,"2,100",-10.40,4.85,25.02,"5,83,099","1,020","38,839",
,"1,786","-1,555","8,339",34.16,181.50,14.75,675,179.00,179.80,75,"10,950.00",375,8.05,8.10,375,-15.10,7.90,23.09,"3,73,969","-1,936","14,656",
,"10,116","-6,943","1,77,207",30.35,138.00,8.35,150,134.50,134.90,75,"11,000.00",75,13.55,13.60,"8,025",-20.80,12.70,21.33,"10,88,971","5,548","49,447",
,"3,916","-2,448","1,12,662",26.91,98.00,1.10,450,93.40,93.90,225,"11,050.00",75,22.55,22.65,150,-28.90,21.00,19.34,"4,66,284","2,335","13,630",
,"35,240","4,397","7,36,197",24.84,62.50,-4.15,"1,275",59.75,60.00,"1,425","11,100.00",150,38.55,38.75,150,-33.25,36.95,17.71,"11,35,000","10,933","31,257",
,"21,545","10,432","5,62,832",23.59,35.80,-6.45,375,34.90,35.05,225,"11,150.00",75,63.50,63.85,75,-35.95,61.00,15.67,"3,81,948","3,439","5,246",
,"61,515","21,793","14,35,286",23.00,19.50,-6.15,"3,900",18.80,18.90,"11,625","11,200.00",150,96.95,97.35,75,-34.70,92.05,10.33,"5,89,958","5,434","11,940",
,"28,480","13,055","6,59,332",22.84,9.50,-4.65,525,9.35,9.40,225,"11,250.00",75,137.30,138.25,150,-32.85,132.95,-,"81,934",743,"1,152",
,"52,229","14,185","9,31,213",23.25,4.75,-2.70,"14,625",4.65,4.70,"13,425","11,300.00",450,183.00,183.45,75,-30.85,179.95,-,"84,882",263,"2,351",
,"25,046","11,926","3,48,778",24.49,2.70,-1.25,"12,450",2.55,2.60,"5,100","11,350.00",75,230.50,232.25,75,-27.50,229.05,-,"1,808",56,361,
,"24,666",841,"4,20,578",26.60,1.75,-0.65,"10,575",1.80,1.85,"33,900","11,400.00",150,279.35,280.70,75,-29.65,275.65,-,"9,257",-32,"1,051",
,"6,295","1,470","1,06,276",29.04,1.50,-0.40,"3,825",1.35,1.40,"5,175","11,450.00",600,328.40,331.35,225,-26.45,329.95,-,334,47,106,
,"34,465","4,930","2,46,903",32.13,1.20,-0.35,"21,075",1.25,1.30,"14,400","11,500.00",75,378.60,380.05,75,-26.55,375.65,-,"3,018",68,864,
,"2,684",-779,"20,651",35.29,1.15,-0.25,75,1.15,1.25,675,"11,550.00",150,428.05,431.20,75,-20.50,436.75,-,71,9,28,
,"22,455","5,313","75,757",37.65,1.15,-0.20,"7,575",1.05,1.10,"4,200","11,600.00",75,478.25,480.60,225,-28.85,444.30,-,264,15,266,
,"2,689",-272,"5,355",40.57,0.85,-0.20,"2,175",1.00,1.10,"2,775","11,650.00",75,527.95,530.95,150,0.65,554.05,58.67,6,1,25,
,"11,852","-1,130","34,003",43.39,0.80,-0.15,"1,125",0.95,1.00,"3,900","11,700.00",150,574.70,586.95,75,-56.25,584.75,-,39,-10,100,
,"1,092",-50,"3,581",46.14,1.00,-0.10,150,0.85,1.00,75,"11,750.00","1,050",572.65,664.00,75,-201.10,539.90,-,2,-,4,
,"10,904",-558,"18,654",49.14,0.95,-0.10,75,0.85,0.90,"3,600","11,800.00","1,875",657.10,704.85,"1,275",-21.80,713.05,82.58,6,-1,11,
,671,17,863,51.37,0.80,-0.10,"7,575",0.75,0.95,"2,850","11,850.00","1,050",658.35,804.90,"1,050",-,902.25,-,-,-,-,
,"3,061",-431,"5,322",53.87,0.80,-0.15,"3,000",0.75,0.90,"3,675","11,900.00",150,777.95,810.85,150,-94.15,785.30,-,4,1,12,
,413,-71,782,58.34,0.80,0.15,"2,100",0.80,0.90,"4,275","11,950.00","1,050",784.45,919.30,"7,350",-776.25,753.40,-,3,3,3,
,"12,640","-1,022","16,053",60.01,0.75,-,"1,875",0.80,0.85,600,"12,000.00",150,876.05,881.60,150,-32.25,872.35,-,119,6,68,
,44,-67,333,61.37,0.65,-0.15,450,0.65,0.90,75,"12,050.00",75,892.75,962.00,75,-,-,-,-,-,-,
,"1,980",-96,"1,178",63.55,0.85,-0.05,"1,275",0.60,0.75,225,"12,100.00",75,964.75,"1,013.00",75,-,-,-,-,-,-,
,214,-6,362,65.63,0.35,-0.10,"1,275",0.50,0.70,"5,250","12,150.00","1,050",958.00,"1,128.25","1,050",-,-,-,-,-,-,
,"3,654",-181,"1,184",68.93,0.80,-,"3,000",0.70,0.85,750,"12,200.00","1,050","1,001.90","1,183.45","1,050",-,-,-,-,-,-,
,31,18,51,75.31,0.95,0.30,"1,275",0.60,0.95,"3,675","12,250.00","1,050","1,058.40","1,219.45","7,350",-,-,-,-,-,-,
,326,-169,"4,941",74.85,0.90,0.05,"1,125",0.65,0.75,75,"12,300.00","1,050","1,105.90","1,301.70","1,050",-,-,-,-,-,-,
,8,7,17,76.83,0.60,0.20,675,0.60,0.85,"3,000","12,350.00",75,"1,181.80","1,261.65",75,-,-,-,-,-,-,
,"1,114",-188,"1,607",80.09,0.80,0.10,300,0.70,0.80,75,"12,400.00",75,"1,228.90","1,331.40",75,-,-,-,-,-,-,
,216,-1,55,81.99,0.65,0.05,75,0.35,0.65,750,"12,450.00",75,"1,274.00","1,362.05",75,-,-,-,-,-,-,
,"7,323",-885,"4,874",84.55,0.60,0.05,"5,775",0.60,0.70,"1,350","12,500.00",150,"1,372.35","1,410.60",75,-,"1,456.30",-,-,-,-,
,246,29,347,85.49,0.70,-0.05,"1,200",0.25,0.70,"1,200","12,550.00",75,"1,383.50","1,461.85",75,-,-,-,-,-,-,
,583,34,494,89.60,0.30,-,"1,200",0.30,0.70,75,"12,600.00",975,"1,414.50","1,513.10",75,-,-,-,-,-,-,
,38,-,-,-,0.75,-,"4,500",0.30,0.90,900,"12,650.00",975,"1,112.00","1,703.30",975,-,-,-,-,-,-,
,"1,046",-16,632,89.77,0.35,-0.15,"1,575",0.25,0.70,675,"12,700.00",975,"1,141.10","1,671.95",975,-,-,-,-,-,-,
,525,101,113,99.29,0.75,0.35,"3,000",0.25,0.65,75,"12,750.00","7,350","1,551.05","1,724.65",975,-,-,-,-,-,-,
,"3,870",463,"3,880",103.76,0.55,0.35,675,0.55,0.85,300,"12,800.00",75,"1,622.35","1,727.30",75,-,-,-,-,-,-,
